,지점,영업시간,주소,전화번호
176,IFC MALL 3호점,사회적 거리두기 월 ~금 07:00~22:00 토/일 10:00~22:00 ,서울시 영등포구 국제금융로10 IFC Mall L2(2층)  ,02-6137-5056
177,동탄능동DT점,매일 07:00~22:00,"경기도 화성시 능동 453-4,453-8,454-1 소재 건물(1~3층)  ",031-267-4182
178,수원인계DT점,월-금 07:00~22:00 I 토-일 07:00~22:00,경기도 수원시 팔달구 인계로79 (인계동)  ,031-898-8818
179,인천공항 제2여객터미널 입구점,매일 06:00~21:00,인천광역시 중구 운서동 2868 인천공항 제2터미널 1층 연번(23-124)  ,032-743-2894
180,부산서면서전로점,평일/주말 09:30~21:00,"부산광역시 부산진구 서전로 12, 1층  ",051-819-8708
181,분당차병원본관앞점,매일 07:00-22:00 ,경기도 성남시 분당구 야탑로64 DS타워 1층  ,031-8017-8243
182,신용산역래미안점,월-금 07:00~22:00 | 토/일/공휴일 08:00~22:00,서울시 용산구 한강대로95  ,02-2074-1049
183,선릉역3번출구세방빌딩점,"월-금 07:00~21:00 | 주말,공휴일 08:00-21:00 ",서울특별시 강남구 선릉로 433 세방빌딩 1층  ,02-2051-9328
184,광명아브뉴프랑점,월-금 07:00~22:00 | 토/일/공휴일 07:00~22:00,경기도 광명시 양지로16 아브뉴프랑 지하 2층 (주)커피빈코리아 광명아브뉴프랑점  ,02-899-7460
185,새문안로점,월-목 07:00~22:00 | 금 08:00~22:00ㅣ토요일 08:00~22:00 ㅣ일요일 08:00~21:00,"서울특별시 종로구 새문안로 91 고려빌딩 1,2층   ",02-739-5806
186,문정동환인제약빌딩점,"평일 07:00~21:00ㅣ토요일 08:00~21:00ㅣ일,공휴일 08:00~21:00",서울특별시 송파구 법원로6길 11 환인빌딩 1층   ,02-449-9569
187,경희대점," | 평일 08:30~21:00  | 주말,공휴일 09:00~21:00 | ",서울시 동대문구 경희대로 10 (회기동)  ,02-3295-4552
188,파주DT점,월-금 07:30~21:00 | 주말/공휴일 08:00~21:00,경기도 파주시 문발로 131  ,031-8070-0028
189,창원시티세븐점,"평일, 주말 08:00~22:00","경상남도 창원시 성산구 원이대로 320, 더시티세븐S-105호(대원동)  ",055-600-5361
190,종로구청앞점,월-금 07:00~22:00 | 주말 09:00~22:00 ,서울특별시 종로구 종로3길 34  ,02-739-6151
191,상수역점,평일 08:00~20:00 주말/공휴일 09:00 ~ 21:30,"서울시 마포구 와우산로10길 3, 엘케이빌딩 1~3층  ",02-325-6804
192,안양시청앞점,월-금 07:00~23:00 | 토08:00~23:00 ㅣ일/공휴일 08:00~22:00,"경기도 안양시 동안구 시민대로 260, 1층 104,105호  ",031-5177-4770
193,하남신세계백화점 B1점,월-목 10:30~20:00 ㅣ 금-일 10:30~21:00 ,"경기도 하남시 미사대로 750, 신세계백화점 지하1층 식품관  ",031-8072-1641
194,종로센트로폴리스점,월-금 07:00~23:00 | 주말/공휴일 08:00~22:00 |,"서울시 종로구 우정국로 26 센트로폴리스 1층 Retail 1-5,6  ",02-6370-5845
195,잠실향군타워점,월-금 06:30~22:00 | 토요일 07:00~21:00 | 일/공휴일 08:00~21:00, 서울특별시 송파구 올림픽로35길 123 1층  ,02-412-8812
196,부산서면점,일~목 08:00~22:00ㅣ금~토 08:00~23:00,부산 부산진구 서면로 62-1 에이스메디컬타워 1F  ,051-802-4282
197,영종도운서역점,매일 08:00 ~ 22:00,"인천시 중구 신도시남로 142번길 6 (메가스타 영종 139,140,141호)  ",032-746-9822
198,동대입구역점,"월-목 07:00~22:30 | 금,토 07:00~23:00 | 일/공휴일 07:00~22:00  I","서울시 중구 장충동2가 188-11, 188-4, 188-5  ",02-2264-8247
199,해운대센텀호텔점,평일&주말 07:00~21:30,부산 해운대구 센텀3로 20 해운대센텀호텔 1F 101호  ,051-743-5088
200,교대법원점,월-금 07:30~21:00 | 토/일/공휴일 08:00~21:00,"서울 서초구 서초중앙로 156, 1층  ",02- 3664-7716  
201,부천북부역사거리점,주중 07:00~22:00 주말/공휴일 08:00~22:00 ,경기도 부천시 부천로25  ,032-655-8954
202,부산남포역점,일~목 08:00~23:00ㅣ금~토 08:00~00:00,부산 중구 해관로 1 희남빌딩 1층  ,051-246-6284
203,광주상무역점, 평일 07:30~21:00 ㅣ주말 08:00~21:00,"광주 서구 상무중앙로 9, 동양빌딩 1F  ",062-385-8371
204,김포장기DT점,매일 07:00~23:00,경기도 김포시 태장로 819  ,031-987-0409
205,서초동점,평일 07:30~20:00 | 토/일/공휴일 08:00~21:00,서울특별시 서초구 반포대로70  ,02-3665-9507
206,남양주화도DT점," | 평일 07:00~22:00  | 주말,공휴일 08:00~22:00 | ",경기도 남양주시 경춘로 1641  ,031-591-2406
207,선정릉역점,"월-금 07:00~22:00 | 주말,공휴일 09:00~22:00 ",서울시 강남구 봉은사로 331 SH빌딩점 B1-1층  ,02-2058-3028
208,화곡역점,매일 07:00~22:00  ,서울시 강서구 강서로 162  ,02-766-7952
209,부천스타필드시티점,매일 10:00 ~ 22:00,경기도 부천시 옥길동 768 부천스타필드시티점 4층  ,02-6386-1423
210,송도푸르지오월드마크점,매일 07:00~22:00 ,"인천시 연수구 컨벤시아대로 60, 1층  ",032-851-6269
211,광주문화전당역점,일~목 08:00~22:30  금~토 08:00~00:00,광주광역시 동구 서남동 서석로 44 1층 ~ 2층  ,062-236-6591
212,대구228공원앞점,월~목 08:30~22:00 ㅣ금 08:30~22:30ㅣ토 08:30~22:30ㅣ일 08:30~22:00, 대구광역시 중구 동성로3길 106  , 053-421-7436
213,삼성루첸타워점,"월-금 07:00~20:00 | 주말,공휴일 10:00~18:00",서울 강남구 대치동 943-2 루첸타워 1층 로비  ,02-994-8879
214,수원AK플라자점,월-일 10:30~22:00 I 공휴일 10:30~22:00,경기도 수원시 팔달구 덕영대로 924 AK플라자 4층  ,031-240-2246 ｜ 031-278-7641
215,하나은행을지로본점,월-금 06:30~19:00 | 토요일 휴점~휴점 | 일/공휴일 휴점~휴점,서울시 중구 을지로 35 하나은행 을지로본점 24F 내 스마트워크센터  ,02-338-9179
216,선릉KSA한국표준협회점,월-금 07:00~21:00 | 토요일 07:00~21:00 | 일요일 08:00~21:00 ,서울시 강남구 테헤란로69길 5 DT센터점 1층  ,02-3141-7948
217,논현역6번출구앞점,월-금 07:00~22:00 | 토 08:00~22:00 | 일/공휴일 08:00~22:00,서울시 서초구 강남대로 563 페이토플라자 1층 ( 잠원동 37-1 )  ,02-755-3301
218,이태원몬드리안호텔점,평일 08:00~22:30 | 주말/공휴일 08:00~22:30,서울시 용산구 장문로 23 몬드리안 서울 이태원호텔 101호  ,02-3775-0548
219,광주봉선점,평일/주말 07:00~22:00,광주광역시 남구 봉선로 168  ,062-671-3371
220,KB국민은행노원역점," | 평일 07:00~21:00  | 주말,공휴일 08:00~21:00 | ","서울시 노원구 동일로 1405, 1층 일부  ",02-930-9486
221,수서역원방빌딩점,"월-금 06:30~21:00 | 토,일,공휴일 07:00~21:00",서울 강남구 광평로 51길 6-23 원방테크사옥 1층  ,02-3473-3830
222,송파헬리오시티점,"07:00~21:00 | 토,일 07:00~21:00",서울시 송파구 송파대로 345 ( 헬리오시티상가 3블럭 A동 B1층 22호 )  ,02-777-3363
223,청계천을지로점,평일 06:30~23:00ㅣ주말/공휴일 09:00~22:00,서울 중구 남대문로10길 33 1F  ,02-723-1771
224,서초중앙로점,평일 07:00~22:00 | 주말 08:00~22:00,"서울시 서초구 서초중앙로 209, 해성빌딩 1층  ",02-537-2992
225,일산동구청점,평일 07:00~22:00ㅣ주말/공휴일 08:00~22:00  ,경기도 고양시 일산동구 정발산로 38  ,031-903-3989
226,부산화명수정역점,평일/주말 08:30~21:30,"부산광역시 북구 학사로 8  (화명동 2312), 크리스탈타워 2층 201~202호  ",051-361-3370
227,용인역북점,월-금 07:00~22:00ㅣ주말/공휴일 08:00~22:00 ,경기도 용인시 처인구 역북동 598-7   ,031-323-6886
228,부산중앙역점,"평일 07:30~21:00 | 주말,공휴일 09:00~21:00",부산광역시 중구 중앙대로 102 팬오션빌딩 1F  ,051-466-8856
229,천안신부동점,"평일, 주말 08:00~21:00 ",충남 천안시 동남구 만남로 48  ,041-566-0718
230,제주아라점,매일 07:00~22:00,제주도 제주시 연북로 511  ,064-758-1194
231,혜화역점," l 월~일,공휴일 08:00~23:00 l ",서울시 종로구 대명길 5  ,02-745-9471
232,용인에버랜드점,매일  11:00 ~ 20:30,경기도 용인시 처인구 포곡읍 가실리 156-1 (파크내 홀랜드빌리지 옆 암스테르담)  ,031-334-0556
233,명동거리점,월~목 07:00~23:00 l 금 07:00~24:00 l 토 08:00~24:00 l 일 08:00~23:00 ,서울시 중구 명동 10길 52 명동역 신한은행 사옥 1층  ,02-522-7158
234,안양LS타워점,평일 07:00 ~ 18:00 / 주말공휴일휴점,경기도 안양시 동안구 엘에스로 127 1층  ,031-429-9650
235,상암SBS프리즘타워점,"평일 07:30 ~ 19:00ㅣ주말,공휴일 휴점",서울 마포구 상암산로 82 SBS 프리즘 타워 1층 로비  ,02-562-9605
236,용산아이파크몰점,평일/주말 08:00~22:00,"서울시 용산구 한강대로 23길 55, 아이파크몰 테이스트파크 7층  ",02-2012-0731
237,이천하이닉스 행복마을점,평일 07:30~22:00 | 주말 09:00~19:00 | 공휴일 휴무,"경기도 이천시 대산로288번길 89, 행복1마을 복지A동 지하1층  ",031-638-7018
238,진주LH본사점,평일 08:00~18:00 / 토 10:00~18:00 / 일&공휴일 휴점,경남 진주시 충의로 19 LH진주사옥 공감동 1층  ,055-763-3520
239,하나금융명동사옥점,"평일 : 07:00~22:00 / 주말,공휴일 : 09:00~22:00 ",서울시 중구 을지로 66 하나은행 명동사옥 1층  ,02-539-5174
240,제주애월DT점,평일/주말  07:00 ~ 22:00,제주도 제주시 애월읍 애월해안로 560  ,064-799-3670
241,성균관대법학관점,"평일 08:00~20:00 | 토요일 09:00~17:00 | 일요일, 공휴일 휴점 |   ",서울시 종로구 성균관로 25-2 성균관대학교 법학관 B2  ,02-740-1958
242,동탄타임테라스점,월-일  10:30 ~ 22:00,경기도 화성시 동탄중앙로220 타임테라스A 블록 1층 110호-1호  ,031-613-7684
