지점,영업시간,주소,전화번호,주소2
해운대점,일-목 08:00~21:30  금~토 08:00~23:00,부산시 해운대구 해운대 해변로277 다옴빌딩1층  ,051-746-8214,부산광역시해운대구해운대해변로277다옴빌딩1층
역삼동태광타워점,"월-금 07:00~21:00 | 토,일 공휴일 08:00~21:00 ",서울시 강남구 역삼동 718-20  태광타워 1층  ,02-569-9867,서울특별시강남구역삼동718-20태광타워1층
수지동천점,매일  08:00~22:00,경기 용인시 수지구 손곡로 95 송란빌딩 1층  ,031-896-9044,경기도용인시수지구손곡로95송란빌딩1층
파주운정홈플러스점,"평일 10:00~22:00ㅣ주말 10:00~22:00ㅣ공휴일 10:00~22:00 (둘째, 넷째 수요일 휴무) | 임시영업시간  ",경기도 파주시 청암로 17번길 17 1층  ,031-949-1408,경기도파주시청암로17번길171층
잠원논현역점,월-금 07:00~21:00 | 토 09:00~21:00 | 일/공휴일 09:00~21:00,서울시 서초구 신반포로47길 5 건물전체 1~3층  ,02-541-7404,서울특별시서초구신반포로47길5건물전체1~3층
천호역점,평일 07:30~22:00 ㅣ 주말 08:00~22:00,서울시 강동구 올림픽로 659 쌍용플래티넘리버 1층  ,02-488-5912,서울특별시강동구올림픽로659쌍용플래티넘리버1층
홍대역8번출구점,평일 11:00-22:00 I 주말 09:30-22:00,서울시 마포구 양화로18안길 7 2층  ,02-338-9463,서울특별시마포구양화로18안길72층
산본역점,"월-목,일 08:00~22:00 I 금-토 09:00~22:00",경기도 군포시 광정로58 1층 104호 및 2층  ,031-399-8812,경기도군포시광정로581층104호및2층
원주AK플라자점,월-목 10:30~20:00ㅣ금-일/공휴일 10:30~20:30 ,강원도 원주시 봉화로1 AK플라자원주점 1층  ,033-748-0631,강원도원주시봉화로1AK플라자원주점1층
화정중앙공원점,매일 08:00~23:00,경기도 고양시 덕양구 화신로260번길 26 동민프라자 1층 103~107호  ,031-979-9402,경기도고양시덕양구화신로260번길26동민프라자1층103~107호
강남역12번출구점,"월-금 07:00~21:00 | 토 07:00~21:00 | 일,공휴일 07:00~21:00",서울특별시 강남구 테헤란로 111 2층  ,02-569-5838,서울특별시강남구테헤란로1112층
서초부띠크모나코점,월-금 08:00~19:00 I 토-일 08:00~20:00,서울특별시 서초구 서초대로 397 부띠크모나코 1층  ,02-537-4662,서울특별시서초구서초대로397부띠크모나코1층
송파파크하비오점,"월-금 07:00~22:00 | 토,일/공휴일 08:30~22:00",서울특별시 송파구 송파대로 111 송파파크하비오 205동 1층 110-113  ,02-449-6881,서울특별시송파구송파대로111송파파크하비오205동1층110-113
문정역엠스테이트점," 평일 07:00~21:00ㅣ토요일 08:00~21:00ㅣ일,공휴일 08:00~21:00","서울특별시 송파구 법원로 114, 엠스테이트 B동 지하 1층, B145-147   ",02-6177-9080,"서울특별시송파구법원로114,엠스테이트B동지하1층,B145-147"
상봉역점," | 평일 07:00~22:00  | 주말,공휴일 08:00~22:00 | ",서울특별시 중랑구 망우로 291 1층  ,02-493-8902,서울특별시중랑구망우로2911층
강동경희대병원앞점,"평일 07:00-22:00 ㅣ 주말,공휴일 07:00-22:00",서울특별시 강동구 동남로 885 양지빌딩 1층  ,02-481-9938,서울특별시강동구동남로885양지빌딩1층
노원역점," | 평일 07:00~22:00 | 주말, 공휴일  08:00~22:00 | ","서울시 노원구 노해로 490, 길빌딩 2층  ",02-952-9577,"서울특별시노원구노해로490,길빌딩2층"
종각역점," | 월-목 10:00~22:00 l 금,토 10:00~23:00 l 일,공휴일 10:00~22:00 l ",서울시 종로구 종로 70 2층  ,02-739-6268,서울특별시종로구종로702층
평택소사점,월-일  09:00 ~ 22:00,"경기도 평택시 평남로 862, 로이드빌딩 1층  ",031-692-2405,"경기도평택시평남로862,로이드빌딩1층"
몽촌토성역점,평일 07:00~22:00ㅣ주말/공휴일 07:00~22:00,"서울시 송파구 방이동 44-2, 장은빌딩 1층  ",02-2141-0407,"서울특별시송파구방이동44-2,장은빌딩1층"
도곡동지오빌딩점,"월-금 07:00~21:00 | 토,일 08:00~21:00","서울특별시 강남구 도곡동 543-1, 지오빌딩 B1층  ",02-2058-3027,"서울특별시강남구도곡동543-1,지오빌딩B1층"
강북구청앞점," | 월~목 07:30~22:00  | 금,토 7:30~23:00  | 일,공휴일  07:30~22:00 l ","서울특별시 강북구 한천로 139길 25, 1층 일부 및 2층 (수유동 191-70)  ",02-994-8878,"서울특별시강북구한천로139길25,1층일부및2층(수유동191-70)"
송도트리플스트리트점,"월-목,일 08:00~22:00 / 금,토 08:00 ~ 22:30 "," 인천 연수구 송도과학로 16번길 33-4 D동 119호,207호  ",032-310-9644,"인천광역시연수구송도과학로16번길33-4D동119호,207호"
구의삼성쉐르빌점," | 평일 07:00~22:00  | 주말,공휴일 07:00~22:00 | ",서울특별시 광진구 구의강변로 106 삼성쉐르빌 1층  ,02-2201-8953,서울특별시광진구구의강변로106삼성쉐르빌1층
여의도SK증권빌딩점,월 ~금 06:30~22:30 토/일 09:00~21:00,서울특별시 영등포구 국제금융로8길31 여의도SK증권빌딩점 1층  ,02-6484-5150,서울특별시영등포구국제금융로8길31여의도SK증권빌딩점1층
현대시티몰가든파이브점,"월-목 10:30~20:30 | 금,토,일 10:30~21:00 ",서울특별시 송파구 충민로 66 가든파이브 라이프동 테크노관 1층  ,02-2673-2110,서울특별시송파구충민로66가든파이브라이프동테크노관1층
위례2차아이파크점,평일 08:00~21:00 | 주말/공휴일 08:00~21:00,서울시 송파구 위례광장로 230 위례2차 아이파크 B동 1층  ,02-449-9703,서울특별시송파구위례광장로230위례2차아이파크B동1층
한성대입구역점," | 평일 07:00~22:00  | 주말,공휴일 08:00~22:00 | ",서울특별시 성북구 삼선교로 12 1층  ,02-766-7951,서울특별시성북구삼선교로121층
한티역디마크빌딩점,"평일 07:00~22:00ㅣ토요일 07:00~22:00 | 일요일,공휴일 08:00~22:00",서울특별시 강남구 도곡로 408 디마크빌딩 1층  ,02-2052-6590,서울특별시강남구도곡로408디마크빌딩1층
논현201-5번지점,월-금 07:00~22:00 | 토 08:00~21:00 | 일/공휴일 10:00~21:00,"서울특별시 강남구  강남대로112길 20 1층, 2층  ",02-541-9563,"서울특별시강남구강남대로112길201층,2층"
수원송죽DT점,매일 07:00-23:00,경기도 수원시 장안구 경수대로 989  ,031-248-6086,경기도수원시장안구경수대로989
동교동삼거리점,"평일,주말 08:00~21:00",서울특별시 마포구 양화로 196(동교동)  ,02-336-9198 ,서울특별시마포구양화로196(동교동)
성남신흥점,평일 07:30-22:00 I 주말/공휴일 08:00-22:00,경기도 성남시 수정구 수정로 190 (신흥동)  ,031-759-6675,경기도성남시수정구수정로190(신흥동)
응암동점 ,월-금 08:00~22:00 | 토요일 08:00~22:00 | 일/공휴일 09:00~22:00,"서울시 은평구 은평로 121(응암동), 메디컬빌딩  ",02-389-6283,"서울특별시은평구은평로121(응암동),메디컬빌딩"
양천향교역점,매일 07:00 - 21:00,서울특별시 강서구 강서로 457(마곡동)  ,02-3665-9506,서울특별시강서구강서로457(마곡동)
성균관대 자연과학캠퍼스점,월-금 07:00~21:00 | 토 09:00~17:00 | 일/공휴일 휴점,"경기 수원시 장안구 서부로 2066, 성균관대 자연과학 캠퍼스 N센터 1층  ",031-278-7640,"경기도수원시장안구서부로2066,성균관대자연과학캠퍼스N센터1층"
마곡마커스빌딩점 ,평일 07:00~22:00  주말 08:00~22:00,서울특별시 강서구 마곡동로 55 마커스빌딩 1층  ,02-6905-3030,서울특별시강서구마곡동로55마커스빌딩1층
방이역4번출구점,매일 07:00-22:00,서울 송파구 방이동 206-11  ,02-420-0386,서울특별시송파구방이동206-11
IFC MALL 3호점,사회적 거리두기 월 ~금 07:00~22:00 토/일 10:00~22:00 ,서울시 영등포구 국제금융로10 IFC Mall L2(2층)  ,02-6137-5056,서울특별시영등포구국제금융로10IFCMallL2(2층)
동탄능동DT점,매일 07:00~22:00,"경기도 화성시 능동 453-4,453-8,454-1 소재 건물(1~3층)  ",031-267-4182,"경기도화성시능동453-4,453-8,454-1소재건물(1~3층)"
수원인계DT점,월-금 07:00~22:00 I 토-일 07:00~22:00,경기도 수원시 팔달구 인계로79 (인계동)  ,031-898-8818,경기도수원시팔달구인계로79(인계동)
인천공항 제2여객터미널 입구점,매일 06:00~21:00,인천광역시 중구 운서동 2868 인천공항 제2터미널 1층 연번(23-124)  ,032-743-2894,인천광역시중구운서동2868인천공항제2터미널1층연번(23-124)
부산서면서전로점,평일/주말 09:30~21:00,"부산광역시 부산진구 서전로 12, 1층  ",051-819-8708,"부산광역시부산진구서전로12,1층"
분당차병원본관앞점,매일 07:00-22:00 ,경기도 성남시 분당구 야탑로64 DS타워 1층  ,031-8017-8243,경기도성남시분당구야탑로64DS타워1층
신용산역래미안점,월-금 07:00~22:00 | 토/일/공휴일 08:00~22:00,서울시 용산구 한강대로95  ,02-2074-1049,서울특별시용산구한강대로95
선릉역3번출구세방빌딩점,"월-금 07:00~21:00 | 주말,공휴일 08:00-21:00 ",서울특별시 강남구 선릉로 433 세방빌딩 1층  ,02-2051-9328,서울특별시강남구선릉로433세방빌딩1층
광명아브뉴프랑점,월-금 07:00~22:00 | 토/일/공휴일 07:00~22:00,경기도 광명시 양지로16 아브뉴프랑 지하 2층 (주)커피빈코리아 광명아브뉴프랑점  ,02-899-7460,경기도광명시양지로16아브뉴프랑지하2층(주)커피빈코리아광명아브뉴프랑점
새문안로점,월-목 07:00~22:00 | 금 08:00~22:00ㅣ토요일 08:00~22:00 ㅣ일요일 08:00~21:00,"서울특별시 종로구 새문안로 91 고려빌딩 1,2층   ",02-739-5806,"서울특별시종로구새문안로91고려빌딩1,2층"
문정동환인제약빌딩점,"평일 07:00~21:00ㅣ토요일 08:00~21:00ㅣ일,공휴일 08:00~21:00",서울특별시 송파구 법원로6길 11 환인빌딩 1층   ,02-449-9569,서울특별시송파구법원로6길11환인빌딩1층
경희대점," | 평일 08:30~21:00  | 주말,공휴일 09:00~21:00 | ",서울시 동대문구 경희대로 10 (회기동)  ,02-3295-4552,서울특별시동대문구경희대로10(회기동)
파주DT점,월-금 07:30~21:00 | 주말/공휴일 08:00~21:00,경기도 파주시 문발로 131  ,031-8070-0028,경기도파주시문발로131
창원시티세븐점,"평일, 주말 08:00~22:00","경상남도 창원시 성산구 원이대로 320, 더시티세븐S-105호(대원동)  ",055-600-5361,"경상남도창원시성산구원이대로320,더시티세븐S-105호(대원동)"
종로구청앞점,월-금 07:00~22:00 | 주말 09:00~22:00 ,서울특별시 종로구 종로3길 34  ,02-739-6151,서울특별시종로구종로3길34
상수역점,평일 08:00~20:00 주말/공휴일 09:00 ~ 21:30,"서울시 마포구 와우산로10길 3, 엘케이빌딩 1~3층  ",02-325-6804,"서울특별시마포구와우산로10길3,엘케이빌딩1~3층"
안양시청앞점,월-금 07:00~23:00 | 토08:00~23:00 ㅣ일/공휴일 08:00~22:00,"경기도 안양시 동안구 시민대로 260, 1층 104,105호  ",031-5177-4770,"경기도안양시동안구시민대로260,1층104,105호"
하남신세계백화점 B1점,월-목 10:30~20:00 ㅣ 금-일 10:30~21:00 ,"경기도 하남시 미사대로 750, 신세계백화점 지하1층 식품관  ",031-8072-1641,"경기도하남시미사대로750,신세계백화점지하1층식품관"
종로센트로폴리스점,월-금 07:00~23:00 | 주말/공휴일 08:00~22:00 |,"서울시 종로구 우정국로 26 센트로폴리스 1층 Retail 1-5,6  ",02-6370-5845,"서울특별시종로구우정국로26센트로폴리스1층Retail1-5,6"
잠실향군타워점,월-금 06:30~22:00 | 토요일 07:00~21:00 | 일/공휴일 08:00~21:00, 서울특별시 송파구 올림픽로35길 123 1층  ,02-412-8812,서울특별시송파구올림픽로35길1231층
부산서면점,일~목 08:00~22:00ㅣ금~토 08:00~23:00,부산 부산진구 서면로 62-1 에이스메디컬타워 1F  ,051-802-4282,부산부산진구서면로62-1에이스메디컬타워1F
영종도운서역점,매일 08:00 ~ 22:00,"인천시 중구 신도시남로 142번길 6 (메가스타 영종 139,140,141호)  ",032-746-9822,"인천시중구신도시남로142번길6(메가스타영종139,140,141호)"
동대입구역점,"월-목 07:00~22:30 | 금,토 07:00~23:00 | 일/공휴일 07:00~22:00  I","서울시 중구 장충동2가 188-11, 188-4, 188-5  ",02-2264-8247,"서울특별시중구장충동2가188-11,188-4,188-5"
해운대센텀호텔점,평일&주말 07:00~21:30,부산 해운대구 센텀3로 20 해운대센텀호텔 1F 101호  ,051-743-5088,부산해운대구센텀3로20해운대센텀호텔1F101호
교대법원점,월-금 07:30~21:00 | 토/일/공휴일 08:00~21:00,"서울 서초구 서초중앙로 156, 1층  ",02- 3664-7716  ,"서울특별시서초구서초중앙로156,1층"
부천북부역사거리점,주중 07:00~22:00 주말/공휴일 08:00~22:00 ,경기도 부천시 부천로25  ,032-655-8954,경기도부천시부천로25
부산남포역점,일~목 08:00~23:00ㅣ금~토 08:00~00:00,부산 중구 해관로 1 희남빌딩 1층  ,051-246-6284,부산중구해관로1희남빌딩1층
광주상무역점, 평일 07:30~21:00 ㅣ주말 08:00~21:00,"광주 서구 상무중앙로 9, 동양빌딩 1F  ",062-385-8371,"광주광역시서구상무중앙로9,동양빌딩1F"
김포장기DT점,매일 07:00~23:00,경기도 김포시 태장로 819  ,031-987-0409,경기도김포시태장로819
서초동점,평일 07:30~20:00 | 토/일/공휴일 08:00~21:00,서울특별시 서초구 반포대로70  ,02-3665-9507,서울특별시서초구반포대로70
남양주화도DT점," | 평일 07:00~22:00  | 주말,공휴일 08:00~22:00 | ",경기도 남양주시 경춘로 1641  ,031-591-2406,경기도남양주시경춘로1641
선정릉역점,"월-금 07:00~22:00 | 주말,공휴일 09:00~22:00 ",서울시 강남구 봉은사로 331 SH빌딩점 B1-1층  ,02-2058-3028,서울특별시강남구봉은사로331SH빌딩점B1-1층
화곡역점,매일 07:00~22:00  ,서울시 강서구 강서로 162  ,02-766-7952,서울특별시강서구강서로162
부천스타필드시티점,매일 10:00 ~ 22:00,경기도 부천시 옥길동 768 부천스타필드시티점 4층  ,02-6386-1423,경기도부천시옥길동768부천스타필드시티점4층
송도푸르지오월드마크점,매일 07:00~22:00 ,"인천시 연수구 컨벤시아대로 60, 1층  ",032-851-6269,"인천시연수구컨벤시아대로60,1층"
광주문화전당역점,일~목 08:00~22:30  금~토 08:00~00:00,광주광역시 동구 서남동 서석로 44 1층 ~ 2층  ,062-236-6591,광주광역시동구서남동서석로441층~2층
대구228공원앞점,월~목 08:30~22:00 ㅣ금 08:30~22:30ㅣ토 08:30~22:30ㅣ일 08:30~22:00, 대구광역시 중구 동성로3길 106  , 053-421-7436,대구광역시중구동성로3길106
삼성루첸타워점,"월-금 07:00~20:00 | 주말,공휴일 10:00~18:00",서울 강남구 대치동 943-2 루첸타워 1층 로비  ,02-994-8879,서울특별시강남구대치동943-2루첸타워1층로비
수원AK플라자점,월-일 10:30~22:00 I 공휴일 10:30~22:00,경기도 수원시 팔달구 덕영대로 924 AK플라자 4층  ,031-240-2246 ｜ 031-278-7641,경기도수원시팔달구덕영대로924AK플라자4층
하나은행을지로본점,월-금 06:30~19:00 | 토요일 휴점~휴점 | 일/공휴일 휴점~휴점,서울시 중구 을지로 35 하나은행 을지로본점 24F 내 스마트워크센터  ,02-338-9179,서울특별시중구을지로35하나은행을지로본점24F내스마트워크센터
선릉KSA한국표준협회점,월-금 07:00~21:00 | 토요일 07:00~21:00 | 일요일 08:00~21:00 ,서울시 강남구 테헤란로69길 5 DT센터점 1층  ,02-3141-7948,서울특별시강남구테헤란로69길5DT센터점1층
논현역6번출구앞점,월-금 07:00~22:00 | 토 08:00~22:00 | 일/공휴일 08:00~22:00,서울시 서초구 강남대로 563 페이토플라자 1층 ( 잠원동 37-1 )  ,02-755-3301,서울특별시서초구강남대로563페이토플라자1층(잠원동37-1)
이태원몬드리안호텔점,평일 08:00~22:30 | 주말/공휴일 08:00~22:30,서울시 용산구 장문로 23 몬드리안 서울 이태원호텔 101호  ,02-3775-0548,서울특별시용산구장문로23몬드리안서울이태원호텔101호
광주봉선점,평일/주말 07:00~22:00,광주광역시 남구 봉선로 168  ,062-671-3371,광주광역시남구봉선로168
KB국민은행노원역점," | 평일 07:00~21:00  | 주말,공휴일 08:00~21:00 | ","서울시 노원구 동일로 1405, 1층 일부  ",02-930-9486,"서울특별시노원구동일로1405,1층일부"
수서역원방빌딩점,"월-금 06:30~21:00 | 토,일,공휴일 07:00~21:00",서울 강남구 광평로 51길 6-23 원방테크사옥 1층  ,02-3473-3830,서울특별시강남구광평로51길6-23원방테크사옥1층
송파헬리오시티점,"07:00~21:00 | 토,일 07:00~21:00",서울시 송파구 송파대로 345 ( 헬리오시티상가 3블럭 A동 B1층 22호 )  ,02-777-3363,서울특별시송파구송파대로345(헬리오시티상가3블럭A동B1층22호)
청계천을지로점,평일 06:30~23:00ㅣ주말/공휴일 09:00~22:00,서울 중구 남대문로10길 33 1F  ,02-723-1771,서울특별시중구남대문로10길331F
서초중앙로점,평일 07:00~22:00 | 주말 08:00~22:00,"서울시 서초구 서초중앙로 209, 해성빌딩 1층  ",02-537-2992,"서울특별시서초구서초중앙로209,해성빌딩1층"
일산동구청점,평일 07:00~22:00ㅣ주말/공휴일 08:00~22:00  ,경기도 고양시 일산동구 정발산로 38  ,031-903-3989,경기도고양시일산동구정발산로38
부산화명수정역점,평일/주말 08:30~21:30,"부산광역시 북구 학사로 8  (화명동 2312), 크리스탈타워 2층 201~202호  ",051-361-3370,"부산광역시북구학사로8(화명동2312),크리스탈타워2층201~202호"
용인역북점,월-금 07:00~22:00ㅣ주말/공휴일 08:00~22:00 ,경기도 용인시 처인구 역북동 598-7   ,031-323-6886,경기도용인시처인구역북동598-7
부산중앙역점,"평일 07:30~21:00 | 주말,공휴일 09:00~21:00",부산광역시 중구 중앙대로 102 팬오션빌딩 1F  ,051-466-8856,부산광역시중구중앙대로102팬오션빌딩1F
천안신부동점,"평일, 주말 08:00~21:00 ",충남 천안시 동남구 만남로 48  ,041-566-0718,충청남도천안시동남구만남로48
제주아라점,매일 07:00~22:00,제주도 제주시 연북로 511  ,064-758-1194,제주특별자치도제주시연북로511
혜화역점," l 월~일,공휴일 08:00~23:00 l ",서울시 종로구 대명길 5  ,02-745-9471,서울특별시종로구대명길5
용인에버랜드점,매일  11:00 ~ 20:30,경기도 용인시 처인구 포곡읍 가실리 156-1 (파크내 홀랜드빌리지 옆 암스테르담)  ,031-334-0556,경기도용인시처인구포곡읍가실리156-1(파크내홀랜드빌리지옆암스테르담)
명동거리점,월~목 07:00~23:00 l 금 07:00~24:00 l 토 08:00~24:00 l 일 08:00~23:00 ,서울시 중구 명동 10길 52 명동역 신한은행 사옥 1층  ,02-522-7158,서울특별시중구명동10길52명동역신한은행사옥1층
안양LS타워점,평일 07:00 ~ 18:00 / 주말공휴일휴점,경기도 안양시 동안구 엘에스로 127 1층  ,031-429-9650,경기도안양시동안구엘에스로1271층
상암SBS프리즘타워점,"평일 07:30 ~ 19:00ㅣ주말,공휴일 휴점",서울 마포구 상암산로 82 SBS 프리즘 타워 1층 로비  ,02-562-9605,서울특별시마포구상암산로82SBS프리즘타워1층로비
용산아이파크몰점,평일/주말 08:00~22:00,"서울시 용산구 한강대로 23길 55, 아이파크몰 테이스트파크 7층  ",02-2012-0731,"서울특별시용산구한강대로23길55,아이파크몰테이스트파크7층"
이천하이닉스 행복마을점,평일 07:30~22:00 | 주말 09:00~19:00 | 공휴일 휴무,"경기도 이천시 대산로288번길 89, 행복1마을 복지A동 지하1층  ",031-638-7018,"경기도이천시대산로288번길89,행복1마을복지A동지하1층"
진주LH본사점,평일 08:00~18:00 / 토 10:00~18:00 / 일&공휴일 휴점,경남 진주시 충의로 19 LH진주사옥 공감동 1층  ,055-763-3520,경상남도진주시충의로19LH진주사옥공감동1층
하나금융명동사옥점,"평일 : 07:00~22:00 / 주말,공휴일 : 09:00~22:00 ",서울시 중구 을지로 66 하나은행 명동사옥 1층  ,02-539-5174,서울특별시중구을지로66하나은행명동사옥1층
제주애월DT점,평일/주말  07:00 ~ 22:00,제주도 제주시 애월읍 애월해안로 560  ,064-799-3670,제주특별자치도제주시애월읍애월해안로560
성균관대법학관점,"평일 08:00~20:00 | 토요일 09:00~17:00 | 일요일, 공휴일 휴점 |   ",서울시 종로구 성균관로 25-2 성균관대학교 법학관 B2  ,02-740-1958,서울특별시종로구성균관로25-2성균관대학교법학관B2
동탄타임테라스점,월-일  10:30 ~ 22:00,경기도 화성시 동탄중앙로220 타임테라스A 블록 1층 110호-1호  ,031-613-7684,경기도화성시동탄중앙로220타임테라스A블록1층110호-1호
