,이름,설명,평가,내용
115,한청,맑고 개운한 한국식 청주,,"한청, 어떤 술인가요?
맑고 개운한 한국식 청주
우리쌀로 만든 한국식 청주예요.
약하게 느껴지는 산미와 당도 너머 뒷 맛이 깔끔하게 이어져요.
일본식 청주인 사케와 구별되는 우리식 청주를 만들게 위해,
술 빚는 방식이나 여과, 재료 등을 독자적으로 연구하여
개발한 술이라고 해요. 전반적으로 가볍고 깨끗한 캐릭터를 보이며
한식과도 잘 어우러지는 특징을 갖고 있어요.
냉장 보관하여 시원하게 마시면 더욱 맛이 좋아요.
한청, 어떻게 만드나요?
사케와 다른 독자적인 주조 방식
위생이 잘 관리된 설비와 자동온도 제어 시스템,
철원 오대쌀 등 우수한 설비와 재료를 통해 완성돼요.
일본 사케와 결이 다른 우리 청주를 빚기 위해
술의 고유한 맛을 잃을 수 있는 과한 여과를 피하고
쌀을 도정하지 않고 만드는 제품이지요.
한청, 음식과의 궁합은?
어묵전골
버섯전
한청은 약한 단맛, 산미와 함께 대체로 깔끔한 캐릭터를 가진 청주예요.
여러 한식에 곁들여 마시기에 좋고 어묵전골과 같은 국물요리,
버섯전처럼 담백한 전 요리에도 잘 어울려요."
116,마쿠 망고,망고 주스 같은 청량함,,"마쿠 망고, 어떤 술인가요?
망고 주스 같은 청량함
청량한 탄산과 함께 진한 망고 향과 쌀의 질감을 가진 매력적인 술이에요.
막걸리에 망고 주스를 탄 듯, 새로우면서도 익숙한 맛을 동시에 경험할 수 있어요.
한국계 미국인 캐롤 박이 미국 시장을 겨누어 개발한 제품인
이 마쿠(MAKKU) 시리즈는 2022년 하반기를 기준으로
미국에서만 100만 캔 이상 판매되었다고 해요.
세련된 디자인과 복잡하지 않은 맛으로 젊은 세대에게 인기가 높아요.
국내 대형 마트나 편의점, 백화점에서도 취급하고 있어요.
마쿠 망고, 어떻게 만드나요?
믿을 수 있는 최상급 공정 시스템
마쿠 망고는 쌀과 누룩, 효모, 망고농축액 등을 주 원료로 사용해요. 생산은 경기도 가평에 자리한 ㈜우리술에서 맡고 있어요. 재료를 선정하는 것부터 제조 및 가공, 유통, 보존 과정에서 위생에 관련한 문제가 생기지 않도록 엄격하고 까다롭게 관리해 우수한 품질을 지닌 제품을 만들어 내는 곳이지요. 전통주 관련 업계 최초로 HACCP(식품안전관리인증기준) 인증을 받기도 했어요.
마쿠 망고, 음식과의 궁합은?
로제떡볶이 / 치즈불닭
마쿠 망고는 달달하면서도 진한 망고 향을 품은 술이에요.
고소한 치즈 풍미와 매콤한 맛을 지닌 로제떡볶이, 치즈불닭 등의 안주와 함께 즐기기 좋아요."
117,마쿠 블루베리,새콤달콤 블루베리 막걸리,,"마쿠 블루베리, 어떤 술인가요?
새콤달콤 블루베리 막걸리
과일 소다처럼 상큼달달하고 친근한 맛을 가진 술이에요.
가벼운 블루베리 향 뒤로 느껴지는 쌀의 질감과 톡 쏘는 탄산이 재밌어요.
한국계 미국인 캐롤 박이 미국 시장을 겨누어 개발한 제품인
이 마쿠(MAKKU) 시리즈는 2022년 하반기를 기준으로
미국에서만 100만 캔 이상 판매되었다고 해요.
세련된 디자인과 복잡하지 않은 맛으로 젊은 세대에게 인기가 높아요.
국내 대형 마트나 편의점, 백화점에서도 취급하고 있어요.
마쿠 블루베리, 어떻게 만드나요?
믿을 수 있는 최상급 공정 시스템
마쿠 오리지널은 쌀과 누룩, 효모 등을 주 원료로 사용해요.
생산은 경기도 가평에 자리한 ㈜우리술에서 맡고 있어요.
재료를 선정하는 것부터 제조 및 가공, 유통, 보존 과정에서
위생에 관련한 문제가 생기지 않도록 엄격하고 까다롭게 관리해
우수한 품질을 지닌 제품을 만들어 내는 곳이지요.
전통주 관련 업계 최초로 HACCP(식품안전관리인증기준) 인증을 받기도 했어요.
마쿠 블루베리, 음식과의 궁합은?
파이 / 스낵
마쿠 블루베리는 상큼하고 달콤한 블루베리 향과 맛에 청량감을 더한 가벼운 술이에요.
파이나 스낵 등 가벼운 디저트에 곁들여 먹기 좋아요."
118,마쿠 오리지널,가볍게 즐기는 캔 막걸리,,"마쿠 오리지널, 어떤 술인가요?
가볍게 즐기는 캔 막걸리
청량하고 달달해 음료수처럼 가볍게 즐길 수 있는 막걸리예요.
부드러우면서 은은한 바나나 향과 잔잔한 탄산감이 좋아요.
한국계 미국인 캐롤 박이 미국 시장을 겨누어 개발한 제품인
이 마쿠(MAKKU) 시리즈는 2022년 하반기를 기준으로
미국에서만 100만 캔 이상 판매되었다고 해요.
세련된 디자인과 복잡하지 않은 맛으로 젊은 세대에게 인기가 높아요.
국내 대형 마트나 편의점, 백화점에서도 취급하고 있어요.
마쿠 오리지널, 어떻게 만드나요?
믿을 수 있는 최상급 공정 시스템
마쿠 오리지널은 쌀과 누룩, 효모 등을 주 원료로 사용해요.
생산은 경기도 가평에 자리한 ㈜우리술에서 맡고 있어요.
재료를 선정하는 것부터 제조 및 가공, 유통, 보존 과정에서
위생에 관련한 문제가 생기지 않도록 엄격하고 까다롭게 관리해
우수한 품질을 지닌 제품을 만들어 내는 곳이지요.
전통주 관련 업계 최초로 HACCP(식품안전관리인증기준) 인증을 받기도 했어요.
마쿠 오리지널, 음식과의 궁합은?
피자
치킨
마쿠 오리지널은 청량음료처럼 편하게 즐기기 좋은 막걸리에요.
피자나 치킨을 먹을 때 탄산음료, 맥주 대신 곁들여도 잘 어울릴 만한 스타일이지요."
119,바야흐로,은은하고 달달한 포도 향,"잔에 따라내자마자 포도와 사과같은 과일향이 은은하게 올라와요. 달콤한 맛과 새콤한 뉘앙스도 있어요. 향을 즐기며 마시기에 좋은 술이에요.이탈리아 포도 증류주인 그라파처럼 강렬한 증류주예요. 특유의 나뭇가지 맛과 흙 내음을 품은 폭발적인 향미를 가지고 있어요. 한 잔은 스트레이트로, 다음 잔은 레몬을 곁들인 하이볼로 즐기고 싶네요.","바야흐로, 어떤 술인가요?
은은하고 달달한 포도 향
달콤하게 감도는 포도 향이 매력적인 포도 증류주예요.
알코올도수가 40도로 높은 편이지만, 알코올이 튀지 않고
부드럽게 느껴져 둥글고 달달한 과실향을 즐기며 마실 수 있어요.
조금씩 천천히 물든다는 의미를 담아 자사 와인 제품을
'시나브로'로 브랜딩한 데 이어, 보다 직관적인 증류주의 특성을 살려
‘지금 바로’를 뜻하는 '바야흐로'를 제품명으로 낙점했다고 해요.
바야흐로, 어떻게 만드나요?
직접 재배한 포도로 한정수량 생산
한국 와인의 본고장, 충북 영동의 불휘농장(시나브로 와이너리)에서 만들어요.
자사의 시나브로 청수 화이트와인을 증류하여 숙성해 낸 제품으로,
바야흐로 한 병을 만드는 데 청수 와인 5병 분량이 사용된다고 하는데요.
가족 단위로 직접 재배한 포도를 활용하여 만드는 증류주인 만큼
많은 양을 생산할 수 없어 한 해에 500병 가량만 한정 생산해요.
바야흐로, 음식과의 궁합은?
견과류 / 아이스크림
바야흐로는 은은하고 달달한 포도 향이 매력적인 포도 증류주예요.
견과류 등 마른 안주나 바닐라 아이스크림처럼 간단한 안주를 곁들여 마시기를 추천해요."
120,마주향해,깊고 진한 복분자의 매력,"레드와인처럼 예쁜 붉은 빛을 띄어요. 붉은 베리류의 달콤한 향과 시원한 허브향이 좋아요. 달콤하고 살짝 콤콤해 주정강화와인처럼 식후주로 즐기기에도 괜찮을 듯 싶어요.30년 전에 어머니가 만들어 주신 포도주의 감성을 가진 제품이에요. 진한 단맛과 숙성된 포도의 맛, 그리고 풍성한 향을 느낄 수 있어요.균형 잡힌 향과 맛있는 복분자 향이 느껴져요. 맛을 봤을 때, 디저트와 함께 즐기기에 딱 좋은 술이라는 생각이 들었어요.","마주향해, 어떤 술인가요?
깊고 진한 복분자의 매력
절제된 단맛과 짙은 복분자 과실 풍미, 묵직한 여운을 남기는 과하주예요.
과실 향이 깊고 진하면서 적절한 당도와 새콤한 맛이 있어
17도의 알코올함량에 비해 부담이 별로 느껴지지 않아요.
제품명 '마주향해'는 서로 다른 두 술이 새로운 세계로 마주 향해 간다는 의미라고 해요.
발효와 증류 기법을 함께 사용하는 과하주의 특징에 착안한 이름이지요.
제품 디자인부터 맛까지 모두 고급스럽고 완성도가 높아
분위기를 낼 때는 물론이고 선물용으로도 제격인 제품이에요.
마주향해, 어떻게 만드나요?
천연 재료로 정성을 가득 담아
부산 중앙동에 자리한 우리술 생산자, 40계단발효소에서 생산해요.
쌀, 물, 누룩 그리고 고창에서 난 복분자만을 넣고 빚은 복분자 약주에
정성을 담아 직접 증류한 소주를 첨가해서 완성하지요.
값싼 주정이나 감미료를 넣지 않고 오직 천연 재료만 활용해
자연스럽고 깊은 맛과 풍미를 갖도록 만들어요.
마주향해, 음식과의 궁합은?
치즈 / 케이크
마주향해는 상큼한 복분자 향미와 적당한 단맛, 묵직한 뒷맛을 가진 과하주예요.
풍미 좋은 치즈나 담백한 케이크에 곁들여 마시기 좋아요."
121,아리아리,화이트와인 못지않은 산뜻함,"향만 맡아 보면 훈연된 고기와 같이 맛있는 음식 냄새가 나서 재밌어요. 맛에서는 적당한 산미와 당도가 균형 좋게 다가오고, 살짝 캐러멜 향 같은 여운까지 느낄 수 있어요.사과를 넣지 않았지만 사과 향을 풍기는 독특한 제품이에요. 누룩 특유의 냄새 대신 올라오는 초콜릿, 캐러멜 향 또한 향긋하게 느껴져요.굉장히 깔끔한 맛을 보여주는 약주예요. 캐러멜라이즈된 과일 향도 느낄 수 있어 흥미로워요.","아리아리, 어떤 술인가요?
화이트와인 못지않은 산뜻함
풍성한 과실 향과 깔끔함이 돋보이는 고급 약주예요.
가벼운 단맛과 질감에 더해, 입맛 돋우는 적절한 산미가
상큼하고 싱그러운 화이트와인을 연상케 해요.
한국적인 느낌이 물씬 나는 글씨체부터 접착제 없이
실로 둘러 묶은 한지 라벨의 질감,
하단에 삽입된 미술 작품 등 병 디자인 요소에서도
다양한 멋이 드러나는 제품이지요. .
아리아리, 어떻게 만드나요?
청정 재료로 완성한 품질
경기도 용인에서 우리술을 빚는 생산자,
줄리아와 주휘의 브루어리(제이앤제이 브루어리)에서 만들어요.
어떠한 인공 첨가물이나 감미료도 넣지 않고
오직 품질 좋은 지역 쌀과 물, 직접 띄운 누룩만을 사용해
전에 없이 깔끔한 풍미를 가진 술을 완성해요.
아리아리, 음식과의 궁합은?
샐러드
해산물
아리아리는 과실향 너머 경쾌한 질감과 기분 좋은 산미, 적절한 당도의 균형이 우수한 술이에요.
양념이 많이 된 음식보다 샐러드, 해산물처럼 가볍고 담백한 메뉴와 함께 즐기기를 추천해요."
122,허니버터아몬드주,전통주에 녹아든 허니버터의 맛,"군고구마나 꿀, 버터 향이 나요. 입안에서도 쿠키나 견과류와 같이 달콤하고 고소한 맛이 느껴져요. 전반적으로 달고 탄산이 약간 있어 누구나 편하게 즐기기 좋은 술이에요.특유의 고소한 맛이 있어 막걸리를 많이 안 마셔 본 사람이나 외국인 소비자에게 추천하고 싶어요. 살짝 밤 맛도 느껴져 재미있는 제품이에요.","허니버터아몬드주, 어떤 술인가요?
전통주에 녹아든 허니버터의 맛
달달하고 고소한 맛이 아주 중독적인 제품이에요.
전반적으로 부드럽고 달콤해 누구나 쉽게 즐기기 좋아요.
시즈닝 아몬드 제품을 통해 2030 세대의 호응을 이끄는
바프(HBAF)사와 장수막걸리의 제조사인 서울장수주식회사의 협업 상품으로,
허니버터아몬드를 상징하는 노란 색깔과 아기자기한 캐릭터는 물론
특유의 달콤고소한 맛까지 재현해 내 많은 호응을 얻고 있어요.
허니버터아몬드주, 어떻게 만드나요?
체계적인 공정으로 높인 품질
충청북도 진천군에 자리한 서울장수진천공장에서 생산해요.
체계적인 공정 설비 시스템을 기반으로, 양질의 재료와
삼투압 정제한 맑은 물을 사용해 술을 빚어내는 곳이에요.
이곳에서 벌꿀과 버터, 아몬드 페이스트 등
제품에 정체성을 부여하는 부재료를 적절히 활용하여
원제품 특유의 맛과 향을 가진 허니버터아몬드주를 만들어요.
허니버터아몬드주, 음식과의 궁합은?
떡볶이 / 닭발
허니버터아몬드주는 진득한 단맛과 고소한 풍미가 지배적인 술이에요.
떡볶이나 매운 닭발과 같이 매운 소스를 사용해 만든 음식에 곁들여 먹기 좋아요."
123,꿀막걸리,천연 꿀로 낸 자연의 맛,"고소한 곡물향과 살짝 달콤한 향이 나요. 마셔 보면 산미와 세밀한 탄산도 느껴지는 제품이에요.부드러운 누룩향과 부드러운 단 맛, 풍부한 과실향이 드러나 편하게 접근하기 좋은 제품이에요. 막걸리 입문자에게 추천해요.","꿀막걸리, 어떤 술인가요?
천연 꿀로 낸 자연의 맛
천연 야생화꿀을 넣어 만든 청량한 스타일의 막걸리예요.
꿀이 들어갔다 해서 단 맛이 부담스럽게 느껴지지는 않고,
오히려 전반적으로 깔끔하고 무난한 편이어서
어떤 안주에든 편하게 즐기기 좋은 제품이에요.
근처 대형마트에서 쉽게 찾아볼 수 있을 만큼 구하기도 쉬워요.
꿀막걸리, 어떻게 만드나요?
특허 기술을 통해 완성한 품질
경기도 광주에 자리한 생산자, '남한산성소주'에서 만들어요.
17세기 무렵, 남한산성을 증축할 당시 성 안 백성들이 즐기던
발효주와 증류주에 뿌리를 둔 술을 빚는 생산자예요.
야생화꿀을 넣어 전통 방식으로 빚는 남한산성소주 꿀막걸리는
'토종벌꿀 첨가로 저장성을 향상시킨 막걸리'라는 취지로
특허 출원한 기술을 접목하여 만든 제품이기도 해요.
꿀막걸리, 음식과의 궁합은?
김치전
돼지고기수육
꿀막걸리는 적당한 단 맛과 청량한 특징을 갖춘 막걸리예요.
새콤하고 매콤한 김치전 또는 담백한 돼지고기수육 등
일반적인 막걸리 안주와 함께 즐기기 좋아요."
124,일월삼주-일주142,새콤하고 향긋하게 즐기는 탁주,풀밭에 와 있는 듯 풀내음과 꽃향기가 기분 좋게 퍼져요. 마셨을 때는 달콤하기도 하지만 신 맛이 꽤 강하게 느껴져요. 담백한 해산물에 곁들이면 잘 맞을 제품이에요.신선한 기운을 가진 술이에요. 강한 산미를 품고 있지만 부드러운 질감도 함께 있어 좋은 밸런스를 보여주는 제품입니다.,"일월삼주-일주142, 어떤 술인가요?
새콤하고 향긋하게 즐기는 탁주
묵직한 질감과 14도에 달하는 알코올함량 너머
침이 팍 고이도록 새콤한 산미와 과일향이 도드라지는 프리미엄 탁주예요.
시원할수록 맛이 좋아 차갑게 보관했다가 마시기를 추천해요.
제품명인 일월삼주는 '달 하나를 배 세 척에서 본다'는 말로,
같은 것을 보더라도 저마다 각각 다른 모습을 보게 된다는 의미예요.
마시는 사람에 따라 각기 다른 매력을 찾을 수 있을 만큼
다양한 맛과 향, 풍미를 갖춘 술이라는 생산자의 자신감이 드러나지요.
일월삼주-일주142, 어떻게 만드나요?
우수한 품질을 위한 연구와 노력
경남 함안 지역의 생산자, '빛올양조연구소'에서 만들어요.
밑술에 덧술 한 번으로 단번에 빚어내는 단양주로,
깨끗한 자연환경을 갖춘 함안산 친환경 무농약 쌀과
맑은 물, 직접 배양한 '빛올효모'를 재료로 사용해요.
한층 더 안정적인 맛을 위해서, 부산대 식품생화학연구실과의
협업을 통해 품질 유지와 향상에도 힘쓰고 있어요.
일월삼주-일주142, 음식과의 궁합은?
토마토 카프레제
치즈
일월삼주-일주142는 묵직한 질감과 새콤한 산미가 도드라지는 탁주예요.
토마토 카프레제, 치즈를 안주로 두고 마시면 더욱 깊은 풍미를 느끼며 즐길 수 있어요."
125,칠위드미,합법적인 ‘대마’ 막걸리,달콤하고 고소하며 콤콤한 종이 향이 나요. 마셔 보면 단맛과 콤콤한 기운이 입안에 계속 남아요. 일반 탁주에서 경험할 수 없는 특이한 햄프씨드 향이 개성있게 느껴져요.햄프씨드의 향미가 느껴지는 오묘한 맛의 막걸리예요. 숙성 치즈 향과 복합적인 단 맛도 존재해요. 매우 흥미롭고 신기한 맛이 가득한 제품이에요.,"칠위드미, 어떤 술인가요?
합법적인 ‘대마’ 막걸리
'대마 씨앗', 햄프씨드를 넣고 만든 알코올도수 12도 막걸리예요.
진한 질감에 달콤하고 고소한 누룩과 견과류의 풍미,
햄프씨드 특유의 풀과 같은 쌉쌀한 뉘앙스까지 갖고 있어요.
제품명은 '같이 재밌게 놀자'는 뜻을 지닌 영문장, 'Chill with me'에서
with를 대마의 은어 'weed'로 비틀어 지었는데요.
라벨 중앙을 커다랗게 수놓은 대마 잎 그림과 함께
생산자의 장난기와 위트를 엿볼 수 있는 요소예요.
칠위드미, 어떻게 만드나요?
믿을 수 있는 재료로 완성
칠위드미는 '문삼이공'으로 잘 알려진 천연발효식품 전문 생산자, 마마스팜 영농조합법인에서 생산해요. 강원도의 청정한 환경에서 재배한 친환경 쌀과 깨끗한 물, 누룩을 기반으로 하여 가공한 산업용 대마 씨앗과 다양한 부재료를 넣고 만들지요. 양조에 사용하는 대마 씨앗은 환각성분(THC) 수치를 철저히 관리하여 들여오기 때문에 안심해도 된다고 해요.
칠위드미, 음식과의 궁합은?
제육볶음 / 삼겹살
칠위드미는 다양한 맛과 향을 가진 알코올도수 12도 프리미엄 막걸리예요.
질감이 비교적 묵직하고 단 맛이 충분히 있어 제육볶음처럼 매콤한 음식과 함께 즐겨도 좋고,
삼겹살과 같이 고소한 고기 구이에 곁들여 마시기에도 좋아요.."
126,청명주 17도,맑고 깨끗한 약주,"달콤하고 은은한 풀내음과 꽃 향이 기분 좋게 퍼져요. 쿰쿰한 느낌이 전혀 없고 단 맛과 산미가 강한, 꽤나 자기주장이 강한 술이에요. 살짝 쌉싸름한 느낌도 있어 매력이 충분한 제품이지요.부드러운 단 맛, 적절한 산미, 매끄러운 향, 은은히 느껴지는 과실향 등 모든 부분에 있어서 좋은 맛을 가진 제품이에요. 가끔 산미가 도드라지질 때는 입맛을 돋우는 식전주로 활용하면 좋아요.","청명주 17도, 어떤 술인가요?
맑고 깨끗한 약주
기분 좋은 단 맛과 새콤한 산미, 과실 향이 일품인 약주예요.
입안을 무겁게 만들지 않고 전반적으로 개운한 기운을 남겨요.
집안에 전해지는 청명주 제조법 그대로 빚어
충청북도 무형문화재 1호로 지정된 술이기도 해요.
차게 해서 마실수록 향과 맛이 더욱 살아나
시원하게 보관했다 마시기를 권장해요. 얼음을 더해 즐겨도 좋아요.
청명주 17도, 어떻게 만드나요?
대를 이어 지켜온 맛과 향
청명주는 충북 충주에 자리한 우리술 생산자, 중원당에서 만들어요.
청명주를 현대에 복원해 낸 김영기 옹에 이어 2대인 김영섭 중원당 대표가
기능보유자로서 청명주 생산을 이어가고 있어요.
예부터 명절에 빚어 마시던 술인 만큼 인공 첨가물이나 감미료 없이
쌀과 물, 누룩 등 자연에서 얻은 재료만 활용해 만들지요.
청명주 17도, 음식과의 궁합은?
골뱅이소면무침 / 해산물
청명주 17도는 새콤하면서 달콤한 맛과 과일 향을 갖춘 술이에요.
싱싱한 해산물은 물론 새콤한 골뱅이무침과 같은 음식에 곁들여 마시기 좋아요."
127,청명주 14.5도,부담 없이 깔끔한 산미,,"청명주 14.5도, 어떤 술인가요?
부담 없이 깔끔한 산미
텁텁하지 않고 깔끔한 특징이 잘 드러나는 약주예요.
부담스럽지 않은 산미와 부드러운 질감이 매력 있어요.
집안에 전해지는 청명주 제조법 그대로 빚어
충청북도 무형문화재 1호로 지정된 술이기도 해요.
차게 해서 마실수록 향과 맛이 더욱 살아나
시원하게 보관했다 마시기를 권장해요. 얼음을 더해 즐겨도 좋아요.
청명주 14.5도, 어떻게 만드나요?
대를 이어 지켜온 맛과 향
청명주는 충북 충주에 자리한 우리술 생산자, 중원당에서 만들어요.
청명주를 현대에 복원해 낸 김영기 옹에 이어 2대인 김영섭 중원당 대표가
기능보유자로서 청명주 생산을 이어가고 있어요.
예부터 명절에 빚어 마시던 술인 만큼 인공 첨가물이나 감미료 없이
쌀과 물, 누룩 등 자연에서 얻은 재료만 활용해 만들지요.
청명주 14.5도, 음식과의 궁합은?
애호박전 / 산나물
청명주 14.5도 제품은 깔끔하고 싱그러운 맛을 가졌어요.
간이 강하지 않고 비교적 슴슴한 애호박전이나
산나물과 같은 음식에 곁들여 먹기 좋아요."
128,버터막걸리(BEURRE),버터 풍미 은은한 막걸리,약초같은 풀내음이 상쾌해요. 입안에서는 탄산도 거의 안느껴지고 아주 부드럽습니다. 시큼한 산미도 적고 단맛이 꽤 있어 맛있게 마실 수 있는 막걸리예요.크리미한 질감을 품은 신비스러운 막걸리예요. 버터처럼 매끄러운 맛과 오묘한 맛을 살려냈지요. 막걸리 애호가들도 꼭 경험해 보기를 추천해요.마셔 보면 단 맛이 살짝 느껴져요. 전반적으로 우아하고 정제된 느낌을 주는 제품이에요.,"버터막걸리(BEURRE), 어떤 술인가요?
버터 풍미 은은한 막걸리
고소하고 부드러운 버터 풍미를 가진 막걸리예요.
실제로 버터가 들어간 술은 아니라는 반전(?)이 있지만
버터 특유의 뉘앙스가 잘 느껴져 맛보는 재미가 쏠쏠해요.
버터를 활용한 수제 쿠키와 구움과자를 취급하는 브랜드,
'블랑제리 뵈르'에서 기획한 이색 제품으로
백화점 팝업 스토어, 식품 편집샵 등 소규모 유통 채널에서
판매되며 SNS상에서 높은 인기를 얻는 중이에요.
버터막걸리(BEURRE), 어떻게 만드나요?
특등 재료와 기술로 구현한 맛
버터막걸리는 경기도 김포 지역에서 재배한 쌀로 빚어내는 막걸리예요.
생산자인 팔팔양조장은 농림축산식품부 지리적표시(PGI),
GAP(우수관리인증)와 경기도지사 인증을 받은
우수한 재료를 사용하는 것으로 잘 알려져 있는데요.
버터막걸리 역시 특등급 이상 평가를 받은 김포금쌀 고시히카리 품종으로 만들어져요.
특유의 버터 풍미는 첨가물이나 인공감미료 없이 양조 기술로만 구현해 냈다고 하지요.
버터막걸리(BEURRE), 음식과의 궁합은?
크래커 / 스낵
버터막걸리는 고소한 풍미와 우유 같은 질감이 독특한 인상을 남기는 술이에요.
크래커나 스낵 등 간단한 안주와 함께 마시기 좋아요."
129,키(KHEE) 38,품격을 갖춘 프리미엄 소주,"살짝 공기 접촉을 시키고 나면 시트러스하고 상큼한 과실향이 조금씩 퍼져요. 입안에서는 은은한 단 맛을 느낄 수 있어 매력적인 제품이에요.높은 알코올도수만큼 강렬한 텍스쳐가 입안을 가득 채워요. 은은한 누룩향도 살짝 느껴지며 뒤이어 매끈한 단맛이 따라오는 매력을 갖춘 증류식 소주입니다.혼자 즐기기에도 좋은 술이면서 동시에 오락용 술, 파티용 술로도 좋을 듯하네요.","키(KHEE) 38, 어떤 술인가요?
품격을 갖춘 프리미엄 소주
와인과 같이 풍성한 향과 미네랄리티를 갖춘 프리미엄 소주예요.
한 모금 마시고 나면 부드러운 쌀 향이 퍼지며 풍미 있는 여운이 남아요.
미국 유력 일간지 <뉴욕타임스>에서 주목한 한국계 예술가이자
LA 카운티 미술관의 이사인 에바 차우(Eva Chow)가 2021년 론칭한 제품으로,
신세계 정용진 부회장, 배우 고소영, 이정재 등 재계 유력 인사와
유명 연예인 마케팅으로 많은 화제를 모은 바 있어요.
키(KHEE) 38, 어떻게 만드나요?
천연 재료로 끌어올린 깨끗한 맛
최상급 국내산 쌀과 150미터 지하에서 끌어올린 천연암반수를 재료로 사용해요.
순수 배양 미생물을 넣어 발효를 진행하고, 감압 방식으로 증류하여
부드럽고 깨끗한 풍미가 잘 드러나요.
제조 과정에서는 어떠한 인공 첨가물도 사용하지 않아요.
전반적인 제품 생산은 여주에 위치한 우리술 생산자, '화요'에서 맡고 있어요.
키(KHEE) 38, 음식과의 궁합은?
생선회 / 스시
키(KHEE) 38은 우아한 향과 부드러운 쌀의 풍미를 느낄 수 있는 프리미엄 소주예요.
생선회나 스시와 같이 재료 본연의 맛을 잘 드러내는 메뉴에 곁들여 마시기 좋은 술이에요."
130,키(KHEE) 22,깔끔하고 부드러운 스피릿,,"키(KHEE) 22, 어떤 술인가요?
깔끔하고 부드러운 스피릿
깨끗하고 깔끔하면서 우아한 캐릭터가 엿보이는 프리미엄 소주예요.
22도의 적절한 알코올도수로 상대적으로 부담이 적고 부드러워요.
미국 유력 일간지 <뉴욕타임스>에서 주목한 한국계 예술가이자
LA 카운티 미술관의 이사인 에바 차우(Eva Chow)가 2021년 론칭한 제품으로,
신세계 정용진 부회장, 배우 고소영, 이정재 등 재계 유력 인사와
유명 연예인 마케팅으로 많은 화제를 모은 바 있어요.
키(KHEE) 22, 어떻게 만드나요?
천연 재료로 끌어올린 깨끗한 맛
최상급 국내산 쌀과 150미터 지하에서 끌어올린 천연암반수를 재료로 사용해요.
순수 배양 미생물을 넣어 발효를 진행하고, 감압 방식으로 증류하여
부드럽고 깨끗한 풍미가 잘 드러나요.
제조 과정에서는 어떠한 인공 첨가물도 사용하지 않아요.
전반적인 제품 생산은 여주에 위치한 우리술 생산자, '화요'에서 맡고 있어요.
키(KHEE) 22, 음식과의 궁합은?
밀푀유나베
어묵탕
키(KHEE) 22는 부담 없이 쉽게 즐길 수 있는 부드러운 프리미엄 소주예요.
밀푀유나베나 어묵탕 등 감칠맛을 가진 국물 요리와 함께 즐기기 좋아요."
131,필,고구마를 품은 깔끔한 소주,살짝 시트러스하고 콤콤한 향이 드러나요. 고구마 캐릭터가 아주 강하지는 않지만 고소한 맛을 가진 제품이에요.강렬하지만 심플한 고구마의 맛과 향을 자랑하는 제품이에요. 첫 모금에서 특히 고구마 캐릭터가 많이 느껴져요. 고구마 소주 입문자에게 권하고 싶어요.,"필, 어떤 술인가요?
고구마를 품은 깔끔한 소주
여주 고구마로 만든 고구마 소주예요.
깔끔하고 부드러운 맛과 은은한 고구마 향이 특징이에요.
25도의 알코올함량에 비해 입에서 느껴지는 부담이 덜하여
비교적 편하게 즐길 수 있는 제품이에요.
제품명 '필'은 한자어 '반드시 필(必)'과 영단어 'Feel'이 가진
두 가지 의미를 모두 드러내고 있어요.
필, 어떻게 만드나요?
상압 증류로 살린 고구마 향
최적의 자연 환경에서 수확한 여주산 고구마를 사용해 만들어요.
수확한 고구마는 정성스럽게 손질한 후 발효시키는데요.
발효가 다 된 술덧을 걸러 상압 방식으로 증류해 내면
은은한 고구마의 향과 풍미를 간직한 필 소주가 완성되지요.
필, 음식과의 궁합은?
어묵탕 / 생선회
필은 고구마 향이 은은하게 나는 소주예요.
따뜻하게 끓인 어묵탕이나 신선한 생선회에 곁들여 마시기 좋아요."
132,빛24,깔끔함이 빛나는 증류식 소주,"약하게 허브 향이 나고 달콤한 맛이 살짝 느껴지는 가벼운 소주예요.연수에서 느껴지는 부드러움과 심플함을 가진 증류주예요. 이취가 적고 간결한 매력이 있으며, 24도의 알코올도수에 비해 상당히 부드러운 맛을 가지고 있어요.","빛24, 어떤 술인가요?
깔끔함이 빛나는 증류식 소주
입안에서 느껴지는 부담이 적고 비교적 깔끔한 증류식 소주예요.
제품명인 ‘빛’은 젊은 세대가 '그저 빛'으로 여길 만한
프리미엄 소주가 되겠다는 포부를 담아 지었다고 하는데요.
개성 가득한 디자인과 경쟁제품 대비 저렴한 가격으로 인기를 얻고 있어요.
핸드폰 플래쉬 등으로 제품 하단에 빛을 비추면
라벨 홀로그램 스티커가 반사되는 멋진 효과도 드러나지요.
빛24, 어떻게 만드나요?
청정 자연에서 얻은 재료로 완성
빛24의 생산은 경남 창녕에 자리한 '우포의아침'이 맡고 있어요. 생산자가 자리한 창녕은 생태계특별보호구역이자 국제습지조약 보존습지로 지정된 '우포늪'을 품은 지역인데요. 이처럼 청정한 자연 환경에서 재배한 쌀과 물을 원재료로 사용하여 더욱 깨끗하고 맑은 맛을 구현해 낸다고 해요.
빛24, 음식과의 궁합은?
닭발
야채곱창볶음
빛24는 가볍고 깔끔한 스타일을 가진 증류식 소주예요.
야채곱창볶음이나 닭발 등 흔히 소주 안주로 즐겨 찾는 음식에 곁들여 마시기에도 좋아요."
